Input 1		Input 2	
X(None)	Y(None)	X(None)	Y(None)
22.599358974359	9.08007892309053e-16	22.599358974359	2.49443474251586e-27
45.198717948718	8.40443989748318e-15	45.198717948718	9.66313254546232e-23
67.7980769230769	9.34926903836569e-14	67.7980769230769	1.55175406294405e-17
90.3974358974359	1.07574890652938e-12	90.3974358974359	7.99461737356483e-14
112.996794871795	1.03403536703979e-11	112.996794871795	3.28961727496513e-11
135.596153846154	8.20260971731491e-11	135.596153846154	5.99751775284973e-9
158.195512820513	5.69280790029067e-10	158.195512820513	2.45038179926542e-7
180.794871794872	3.30166223549732e-9	180.794871794872	3.21653289228875e-6
203.394230769231	1.55514875556196e-8	203.394230769231	2.11845503502807e-5
225.99358974359	6.21475599121266e-8	225.99358974359	9.74287722911847e-5
248.592948717949	2.139309245886e-7	248.592948717949	0.00031624009682958
271.192307692308	6.44453851033433e-7	271.192307692308	0.00079381973488446
293.791666666667	1.73068591794618e-6	293.791666666667	0.0017195583624668
316.391025641026	4.18343137818287e-6	316.391025641026	0.00325045009431602
338.990384615385	9.17811221930564e-6	338.990384615385	0.00555077330102697
361.589743589744	1.85077404607209e-5	361.589743589744	0.00875568675542343
384.189102564103	3.47379906949167e-5	384.189102564103	0.012489398035938
406.788461538462	6.10512140971949e-5	406.788461538462	0.0171956780391879
429.387820512821	0.0001018620876106	429.387820512821	0.0230258017428872
451.98717948718	0.00016181193828292	451.98717948718	0.029797774560078
474.586538461539	0.00024675700878302	474.586538461539	0.03676777888015
497.185897435898	0.00036324851615321	497.185897435898	0.0444000283039124
519.785256410257	0.00051798654674067	519.785256410257	0.0523025694445086
542.384615384616	0.00071622129373908	542.384615384616	0.059984725904395
564.983974358975	0.00096442447991678	564.983974358975	0.0682731464742586
587.583333333334	0.00126866787900743	587.583333333334	0.076510260591716
610.182692307693	0.00163586272603178	610.182692307693	0.0853886374171378
632.782051282052	0.00207120572493902	632.782051282052	0.0936992984247148
655.381410256411	0.00257711811331025	655.381410256411	0.102039863483682
677.98076923077	0.00316086158208599	677.98076923077	0.110558382950424
22.599358974359	6.43722024881916e-14	22.599358974359	2.01949323827512e-27
45.198717948718	6.99896842610736e-12	45.198717948718	6.2257149279372e-17
67.7980769230769	4.19985586555046e-10	67.7980769230769	2.17460070239036e-10
90.3974358974359	1.24394303943026e-8	90.3974358974359	6.72767402083152e-7
112.996794871795	1.85842849225813e-7	112.996794871795	4.20985263588941e-5
135.596153846154	1.58137626848509e-6	135.596153846154	0.00051438179574714
158.195512820513	8.81761726842204e-6	158.195512820513	0.00258330616115711
180.794871794872	3.48317778331751e-5	180.794871794872	0.007703245968069
203.394230769231	0.00010538660432294	203.394230769231	0.0165530455599418
225.99358974359	0.00026078415068122	225.99358974359	0.0287707942446871
248.592948717949	0.00055231220370161	248.592948717949	0.0435937096413789
271.192307692308	0.00103472379616242	271.192307692308	0.059743383116133
293.791666666667	0.00176241406678301	293.791666666667	0.0765499852613761
316.391025641026	0.00278140267029642	316.391025641026	0.093540814337224
338.990384615385	0.00412839887701958	338.990384615385	0.109574591498195
361.589743589744	0.00582618259515522	361.589743589744	0.125430005321026
384.189102564103	0.00788903101528439	384.189102564103	0.140756906660069
406.788461538462	0.0103170063779171	406.788461538462	0.155901981769658
429.387820512821	0.0131056353523239	429.387820512821	0.170891576552885
451.98717948718	0.0162384732663267	451.98717948718	0.186272596323946
474.586538461539	0.0196986560399211	474.586538461539	0.201813835357558
497.185897435898	0.0234657418633406	497.185897435898	0.217849343246281
519.785256410257	0.0275181676412042	519.785256410257	0.23382524112772
542.384615384616	0.0318281542807572	542.384615384616	0.249937393661837
564.983974358975	0.036371959107185	564.983974358975	0.267127338435261
587.583333333334	0.0411312481116072	587.583333333334	0.284959018406593
610.182692307693	0.0460854240242585	610.182692307693	0.303155985723434
632.782051282052	0.0512146150568036	632.782051282052	0.321237522868851
655.381410256411	0.0564963816979243	655.381410256411	0.340144025156449
677.98076923077	0.0619183629944921	677.98076923077	0.358509463959088
22.599358974359	5.02748295336448e-12	22.599358974359	5.8033040647249e-23
45.198717948718	1.95750969681668e-9	45.198717948718	1.69230598770697e-10
67.7980769230769	1.5909414758756e-7	67.7980769230769	6.33144080090469e-6
90.3974358974359	3.63619970142405e-6	90.3974358974359	0.00056309437360741
112.996794871795	3.36248854586135e-5	112.996794871795	0.00495497927873633
135.596153846154	0.00016794773657854	135.596153846154	0.017274052177833
158.195512820513	0.00055736290159039	158.195512820513	0.0375772799536457
180.794871794872	0.00138940430069425	180.794871794872	0.0620552591777861
203.394230769231	0.00284318657913394	203.394230769231	0.0872825253643705
225.99358974359	0.00505499173371648	225.99358974359	0.111810160919598
248.592948717949	0.008098506145855	248.592948717949	0.135189211232351
271.192307692308	0.0119832753771955	271.192307692308	0.157880808760342
293.791666666667	0.0166846257381733	293.791666666667	0.180451671407067
316.391025641026	0.0221401284252788	316.391025641026	0.203487240087725
338.990384615385	0.0282774035522552	338.990384615385	0.22690573530053
361.589743589744	0.0350111354216908	361.589743589744	0.251824031799394
384.189102564103	0.0422598902124397	384.189102564103	0.277919811594604
406.788461538462	0.0499491994180229	406.788461538462	0.305185408154798
429.387820512821	0.0580137582602357	429.387820512821	0.333031276710784
451.98717948718	0.0663933570375203	451.98717948718	0.361600861025684
474.586538461539	0.0750421980439768	474.586538461539	0.390092051241321
497.185897435898	0.08391792998509	497.185897435898	0.418525910422208
519.785256410257	0.0929909237524325	519.785256410257	0.446231088088413
542.384615384616	0.102241164192655	542.384615384616	0.472642313834754
