after NLPN mitigation		with NLPN	
X(None)	Y(None)	X(None)	Y(None)
88	5.78430888490107e-57	88	1.59353966523187e-55
176	8.96674873611251e-29	176	1.78488794863368e-26
264	1.01694577233914e-18	264	3.1754752944446e-15
352	1.70570741607731e-12	352	2.62495696991921e-9
440	9.84461935564117e-10	440	3.35638741843938e-6
528	1.54351042873559e-7	528	0.0003710019419639
616	5.09175794123172e-6	616	0.00986286170849888
704	5.8388672489955e-5	704	0.053706088563978
792	0.00028028275301111	792	0.1287632844909
880	0.0015593890471606	880	0.16124897924873
968	0.00646285138690222	968	0.189636625709602
1056	0.0136369637301872	1056	0.218227758914493
1144	0.0256398791986832	1144	0.244886479565965
1232	0.0424406027371686	1232	0.256132161950184
1320	0.0624252331579004	1320	0.2635662959844
1408	0.0840852698918175	1408	0.273701984346557
1496	0.103125499103773	1496	0.286914131296682
1584	0.113108632621458	1584	0.301671095766936
1672	0.121329073579374	1672	0.321170710722824
1760	0.132379545319596	1760	0.342900653207852
1848	0.146324432829009	1848	0.367113140806147
1936	0.154549326115432	1936	0.39363348870373
2024	0.162394587255816	2024	0.420469851183793
2112	0.174487948550112	2112	0.446470957670721
2200	0.183461517094224	2200	0.471177447876575
2288	0.193291281908791	2288	0.496118269717272
2376	0.206246184676833	2376	0.517751816319137
2464	0.218387006060383	2464	0.538562643278614
2552	0.228570144116717	2552	0.558746269123812
2640	0.238283224348415	2640	0.574591242465415
2728	0.248240142090622	2728	0.589814688660088
2816	0.25755220712887	2816	0.606331053618307
2904	0.267059100125855	2904	0.621382256195198
2992	0.27720669131417	2992	0.636798818854343
3080	0.284400109912858	3080	0.651059644994827
3168	0.295778686672378	3168	0.664666023042718
3256	0.306845211373856	3256	0.67718952106534
3344	0.317591109252346	3344	0.690878235216209
3432	0.325625920252416	3432	0.703969341706228
3520	0.335949839360127	3520	0.715594638898906
3608	0.343437434621206	3608	0.726950971039546
3696	0.352154728345439	3696	0.73826537577916
3784	0.359934416922074	3784	0.74958860553548
3872	0.369438290833608	3872	0.759954399340032
3960	0.380333350250451	3960	0.7701610339752
4048	0.390359218247541	4048	0.780325705257421
4136	0.399044356246742	4136	0.789550483008566
4224	0.409815312713441	4224	0.799117691426732
4312	0.414730566753808	4312	0.807320406328499
4400	0.422830575185972	4400	0.81600666628472
4488	0.43226309233347	4488	0.82452503538865
4576	0.440998472218365	4576	0.832822100647659
4664	0.450446665035291	4664	0.841006641792735
4752	0.457515258014014	4752	0.848521056379856
4840	0.463281461069579	4840	0.855456668062213
4928	0.4716131907093	4928	0.862442327646036
5016	0.480243858457438	5016	0.868708854881423
5104	0.485574246612415	5104	0.874393709172524
5192	0.493652451907311	5192	0.880488340985413
5280	0.499678892417832	5280	0.886015240258554
5368	0.504905010902076	5368	0.891234600617846
5456	0.512143672285318	5456	0.896478927182324
5544	0.51750362360807	5544	0.901218264223346
5632	0.522995254896394	5632	0.905477349446774
