88	0.00329768687564739	88	0.00387682166217286
176	0.00395838168829511	176	0.00822102622529403
264	0.00548064773539264	264	0.034011384946334
352	0.00912795439890224	352	0.104996984671116
440	0.0179522434733545	440	0.180093250644828
528	0.0374986799918873	528	0.235089311681539
616	0.0713735128937835	616	0.279964104531772
704	0.112053466142296	704	0.324255072743543
792	0.151843492694561	792	0.372173484614642
880	0.168598396021189	880	0.425558637468388
968	0.182294429598884	968	0.475781287580102
1056	0.194961507225915	1056	0.508244541559869
1144	0.20964947286982	1144	0.540078915038286
1232	0.224586334316245	1232	0.57063742056903
1320	0.241053296016211	1320	0.600177579724
