after NLPN mitigation		with NLPN	
X(None)	Y(None)	X(None)	Y(None)
88	2.57602249039096e-93	88	3.87013903602628e-92
176	2.24395561484306e-61	176	7.32948019740084e-56
264	8.84041143955172e-46	264	1.80650187037068e-34
352	4.51687968379664e-35	352	8.4790808565153e-23
440	9.67277180628729e-28	440	3.51985911754919e-17
528	1.23105341066678e-23	528	2.94235481185881e-13
616	1.94240799158631e-19	616	3.46140283857482e-10
704	1.61050736918027e-16	704	3.94615523573835e-8
792	3.0227451152474e-14	792	1.01049290285091e-6
880	2.23977349973461e-12	880	1.11251585621415e-5
968	7.10579214521264e-11	968	6.70668158618877e-5
1056	1.42006006866769e-9	1056	0.00027158780088755
1144	1.57116893230688e-8	1144	0.0008225705216288
1232	9.89618689314882e-8	1232	0.00194605465946302
1320	4.86310076755607e-7	1320	0.0038924629553888
1408	1.90421778853496e-6	1408	0.00685005188608707
1496	6.33052588639228e-6	1496	0.0109524008851598
1584	1.69050155737443e-5	1584	0.0160229643575495
1672	3.96401208253062e-5	1672	0.0220228199323782
1760	8.3502971335918e-5	1760	0.0288461857022239
1848	0.0001638284116007	1848	0.0361685255243882
1936	0.00029662027375799	1936	0.0438632579442641
2024	0.00050760419720428	2024	0.0517876330724635
2112	0.00082820490803836	2112	0.0597906988826711
2200	0.001281840823928	2200	0.0678088117167667
2288	0.00189481612827326	2288	0.0757252030522947
2376	0.00270360280431864	2376	0.0834131801013005
2464	0.00370727276164307	2464	0.0909052673037383
2552	0.00491410182358035	2552	0.0981508135462526
2640	0.00635833084657167	2640	0.105139684171418
2728	0.00807454401267017	2728	0.111842651551227
2816	0.0100419030285936	2816	0.118166451815912
2904	0.0122642573157311	2904	0.124286077651713
2992	0.0147500877129484	2992	0.130218385420356
3080	0.017443825843491	3080	0.135979994032894
3168	0.0203362415205741	3168	0.141580120615931
3256	0.0234107037333189	3256	0.147081967334061
3344	0.0266257856272405	3344	0.152507164832003
3432	0.029981299642668	3432	0.157865306129246
3520	0.0334283024714367	3520	0.163169189090289
3608	0.0369781411844091	3608	0.16847447283587
3696	0.0406752830617209	3696	0.173779146545094
3784	0.0444644725504323	3784	0.17910768811284
3872	0.0483073945582158	3872	0.184441905050284
3960	0.0521690152391825	3960	0.189831758277317
4048	0.056063421045953	4048	0.195279149368222
4136	0.0599777979263198	4136	0.200813058243299
4224	0.0638611089892301	4224	0.206423549245453
4312	0.0677163027815428	4312	0.212131392613553
4400	0.0715259619615711	4400	0.217901302633728
4488	0.0753126431862916	4488	0.223762679804034
4576	0.0791060811435115	4576	0.229721729807077
4664	0.0828908121412883	4664	0.235791722926031
4752	0.0866339532141368	4752	0.241942080107247
4840	0.0903425869848787	4840	0.248206236115732
4928	0.0939903090023401	4928	0.254581750202364
5016	0.0975716399576885	5016	0.260895461296775
5104	0.101084739477437	5104	0.267261602382051
5192	0.104553280561784	5192	0.273752010923132
5280	0.107989417813654	5280	0.280385692370788
5368	0.111419092010508	5368	0.287134548884699
5456	0.114810750734502	5456	0.293986330520979
5544	0.118168906175456	5544	0.300951875742409
5632	0.121483070605013	5632	0.308044319199798
