Input 1	
X(None)	Y(None)
880	14.5390622190684
968	13.7712085105536
1056	13.2602224348265
1144	12.6789024231438
1232	12.1724187296293
1320	11.5037460753487
1408	11.0229599518431
1496	10.386176998414
1584	10.1228126847858
1672	9.65675603899422
1760	9.24726378432
1848	8.8940432327057
1936	8.44413254511476
2024	8.12997826873976
2112	7.71577465637119
2200	7.27662987178523
2288	6.9604408749241
2376	6.65749244007124
2464	6.33588777736091
2552	6.04025952489172
2640	5.66300982545574
88	23.8992283501585
176	22.7872427078864
264	20.0015567113172
352	19.4484541794852
440	18.13661712793
528	17.0474033455756
616	15.956182596927
704	15.0586935955158
792	14.1393077260575
880	13.360534485689
968	12.5536628738366
1056	11.9574202602744
1144	11.3224083263839
1232	10.7531104898726
1320	10.0652421351994
1408	9.55149053040995
1496	8.9160392054742
1584	8.57911579448561
1672	8.08422134430688
1760	7.63865322563649
1848	7.24639434081626
1936	6.78226990781966
2024	6.42931029328558
2112	5.99224907070918
2200	5.54837614012614
2288	5.20348710709001
2376	4.87031734196869
2464	4.53455184581451
2552	4.20290379790629
2640	3.82296553132734
88	23.8709303122201
176	22.4176128362438
264	19.453068263121
352	18.5655917099278
440	17.0834801708491
528	15.8430002775446
616	14.6612275126699
704	13.6563781350982
792	12.6852273751439
880	11.8392238822225
968	11.0047627822617
1056	10.3380001869939
1144	9.6613260354069
1232	9.041323952565
1320	8.34524212347177
1408	7.80141779462787
1496	7.16724884758428
1584	6.76852306668026
1672	6.2511044615046
1760	5.77425393831871
1848	5.34246854053602
1936	4.86185038231867
2024	4.4762937909746
2112	4.01788802826183
2200	3.56290327713938
2288	3.1852495835762
2376	2.81477054053878
2464	2.45947951815906
2552	2.09665139420951
2640	1.69939044716635
88	23.6832170811763
176	21.7077529939049
264	18.5733065539219
352	17.3179520043818
440	15.6849388193791
528	14.3189449192841
616	13.0685093972884
704	11.9807663487671
792	10.9718968901985
880	10.0735084423248
968	9.21564402376695
1056	8.49198216960963
1144	7.7804790775534
1232	7.11896691211656
1320	6.41463796774931
1408	5.83696287603075
1496	5.19468538474062
1584	4.73850047844864
1672	4.19781540682758
1760	3.68845547518632
1848	3.21275836868356
1936	2.70611228386497
2024	2.28433223406381
2112	1.79620826430271
2200	1.3155016366479
2288	0.897221742422304
2376	0.475177704455162
2464	0.0782525861208038
2552	-0.319760617183646
2640	-0.761803193758025
88	23.2938845011315
176	20.6581406899259
264	17.3800522076091
352	15.7813536022889
440	14.0284359306837
528	12.56723500718
616	11.2655466480889
704	10.1152520454705
792	9.07523799689547
880	8.13263651860189
968	7.24757866444424
1056	6.47423014392155
1144	5.72811680176705
1232	5.02799307109209
1320	4.30485761429741
1408	3.68189470738797
1496	3.013639569713
1584	2.49405494848545
1672	1.91809443359171
1760	1.36588987128265
1848	0.837990197458063
1936	0.287019180267682
2024	-0.189741925598854
2112	-0.728523578880256
2200	-1.26004658893299
2288	-1.73377049792063
2376	-2.22508558340585
2464	-2.70039074692483
2552	-3.15943557399873
2640	-3.68142847320166
88	22.6668908290034
176	19.3142687147016
264	15.9251964031202
352	14.0425201532346
440	12.1971876375433
528	10.6637145673443
616	9.31699136639031
704	8.11357751236678
792	7.03806032206456
880	6.0501888796649
968	5.1258867508923
1056	4.30086414695554
1144	3.51058845949654
1232	2.76291877984479
1320	1.99809965290809
1408	1.31012414385458
1496	0.589681734433352
1584	-0.00865497300692248
1672	-0.65008429885506
1760	-1.27101148509852
1848	-1.86988917574715
1936	-2.49822403741139
2024	-3.06953179563664
2112	-3.69463773638397
2200	-4.31684231966572
2288	-4.8856575469156
2376	-5.47736748002788
2464	-6.07282480408056
2552	-6.65315934510078
2640	-7.29319640212204
88	21.7744771778272
176	17.7353073207457
264	14.2644696380051
352	12.1610504862917
440	10.2396407477066
528	8.64373850376077
616	7.24853273265253
704	5.98974002949408
792	4.86297736112124
880	3.81856766919466
968	2.83328301252863
1056	1.94200636397995
1144	1.08419980160216
1232	0.260845690151911
1320	-0.583875755391693
1408	-1.36558953822746
1496	-2.17664465003478
1584	-2.88206222287527
1672	-3.64261058277705
1760	-4.38591999108035
1848	-5.1055373225729
1936	-5.86775037884796
2024	-6.59114534648381
2112	-7.36789489177526
2200	-8.1472163123923
2288	-8.89320305373255
2376	-9.67633440906001
2464	-10.4470512176808
2552	-11.2433084324654
2640	-12.0729714890501
88	20.614963940469
176	15.9835984931887
264	12.4490007651223
352	10.1747414576604
440	8.18038149946469
528	6.51742175868884
616	5.05793619805411
704	3.72787326203523
792	2.52050007216071
880	1.39306532545366
968	0.311664844770122
1056	-0.682104918906354
1144	-1.65508416684237
1232	-2.61178718010093
1320	-3.59877947221252
1408	-4.52464760831864
1496	-5.49707490182462
1584	-6.38129065228502
1672	-7.33930627261989
1760	-8.29731873320721
1848	-9.26014410896139
1936	-10.2716087532992
2024	-11.2492147991334
2112	-12.3260618582288
2200	-13.4411724093655
2288	-14.5172147099411
2376	-15.7010318876553
2464	-16.837858508661
2552	-18.0157635321845
