Input 1		Input 2	
X(None)	Y(None)	X(None)	Y(None)
88	29.9633476968643	88	28.3673419452609
176	26.8544592495776	176	24.0912693630062
264	24.5835085988795	264	21.1875828862868
352	22.8555313993629	352	19.0306309376093
440	21.4299351685011	440	17.2759070896069
528	20.2064240066742	528	15.8118006179296
616	19.1316621940446	616	14.5269439164962
704	18.1806751412012	704	13.4107473507277
792	17.3083646857927	792	12.405874734527
880	16.5108471099409	880	11.484604067588
968	15.7800300524457	968	10.6497514915432
1056	15.1003628326168	1056	9.88095572196021
1144	14.4786292490896	1144	9.15805958648929
1232	13.9069910037143	1232	8.68074658112482
1320	13.3446747299095	1320	8.24375523520109
1408	12.8286968617001	1408	7.81611729512439
1496	12.319340169214	1496	7.38358826848511
1584	11.8646693037953	1584	6.97387385820619
1672	11.4689900440713	1672	6.56271212462803
1760	11.2936877073727	1760	6.17076423422281
1848	11.062087082863	1848	5.75443249746181
1936	10.8900615770994	1936	5.3729319753921
2024	10.7206193200172	2024	5.0024523295276
2112	10.5225070041671	2112	4.6302905981815
2200	10.3640689144123	2200	4.27575389508879
2288	10.1900206856798	2288	3.92393870692606
2376	9.97616589755186	2376	3.57311659088023
2464	9.76820348592055	2464	3.22727045070828
2552	9.5697379477942	2552	2.88098459388539
2640	9.40691662261417	2640	2.54980096071871
2728	9.2261369379327	2728	2.22134463020774
2816	9.05458882643769	2816	1.88644240454682
2904	8.89082581232395	2904	1.57759862502701
2992	8.71836597803684	2992	1.25953292723415
3080	8.54468214831884	3080	0.948261536598603
3168	8.38062301914954	3168	0.642622742834222
3256	8.2089120891733	3256	0.340846946929881
3344	8.00551364728112	3344	0.0213916989825081
3432	7.82582583651877	3432	-0.280567228836446
3520	7.67809202242589	3520	-0.589702805726122
3608	7.5158510573308	3608	-0.89351957068953
3696	7.34808707824895	3696	-1.19395114122625
3784	7.19021840221128	3784	-1.48746799677763
3872	7.01048252398549	3872	-1.77767279282447
3960	6.84441777917428	3960	-2.06680960789109
4048	6.66488440405977	4048	-2.36564377450288
4136	6.48201415780745	4136	-2.65396178920881
4224	6.30710011122767	4224	-2.95279956738885
4312	6.16610772148246	4312	-3.25186586346721
4400	6.00658807431997	4400	-3.55210244483448
4488	5.87994961486967	4488	-3.84398197400792
4576	5.7470322575277	4576	-4.14976652229937
4664	5.58071116582085	4664	-4.44582485429327
4752	5.43977120300722	4752	-4.74763329986251
4840	5.29692683360834	4840	-5.0340178588627
4928	5.13964856843906	4928	-5.33500317086495
5016	4.99313353309059	5016	-5.65051049406556
5104	4.8358813034102	5104	-5.93925581226472
5192	4.65673630704153	5192	-6.24864162113718
5280	4.47735897254218	5280	-6.56770694496981
5368	4.34373411149482	5368	-6.86730910885858
5456	4.17504652295622	5456	-7.19752942967684
5544	4.05118729001411	5544	-7.52569738383048
5632	3.94359986026929	5632	-7.8457769784569
